"month","avg_price"
"2018-01",3.91967741935484
"2018-02",2.66392857142857
"2018-03",2.69145161290323
"2018-04",2.79683333333333
"2018-05",2.8
"2018-06",2.96266666666667
"2018-07",2.83370967741935
"2018-08",2.95903225806452
"2018-09",2.98866666666667
"2018-10",3.26387096774194
"2018-11",4.10733333333333
"2018-12",3.95451612903226
"2019-01",3.12225806451613
"2019-02",2.69107142857143
"2019-03",2.96451612903226
"2019-04",2.64383333333333
"2019-05",2.63629032258065
"2019-06",2.40233333333333
"2019-07",2.36161290322581
"2019-08",2.2091935483871
"2019-09",2.53616666666667
"2019-10",2.30483870967742
"2019-11",2.64061111111111
"2019-12",2.20989247311828
"2020-01",2.02306451612903
"2020-02",1.91626436781609
"2020-03",1.78236559139785
"2020-04",1.73466666666667
"2020-05",1.73661290322581
"2020-06",1.63033333333333
"2020-07",1.76032258064516
"2020-08",2.28161290322581
"2020-09",1.91083333333333
"2020-10",2.38677419354839
"2020-11",2.62
"2020-12",2.57429032258065
"2021-01",2.69151612903226
"2021-02",5.29464285714286
"2021-03",2.61354838709677
"2021-04",2.64083333333333
"2021-05",2.91467741935484
"2021-06",3.25533333333333
"2021-07",3.82908602150538
"2021-08",4.07817204301075
"2021-09",5.13833333333333
"2021-10",5.48709677419355
"2021-11",5.03933333333333
"2021-12",3.74048387096774
"2022-01",4.39193548387097
"2022-02",4.63339285714286
"2022-03",4.91548387096774
"2022-04",6.58111111111111
"2022-05",8.1189247311828
"2022-06",7.6605
"2022-07",7.215
"2022-08",8.82741935483871
"2022-09",7.93733333333333
"2022-10",5.65822580645161
"2022-11",5.52
"2022-12",5.5885
